listing,price_in_usd,vendor,origin,destination,drug detail,synthetic_c,type of product,description,num_feedback,average_ rating
"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)
Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr
wickr............ American79
",0,0
"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)
Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr
wickr............ American79",0,0
"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)
Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr
wickr............ American79",0,0
"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)
Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr
wickr............ American79
Price:  $  0.0    ( 0.0 Bitcoins ) ",0,0
"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)
Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr
wickr............ American79
Price:  $  0.0    ( 0.0 Bitcoins ) ",0,0
"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)
Dank vape available along side the oil. with fast and secured delivery to all location. please download wickr app and massage us after placing your order or before placing your order. Please if you want just 1 or 2 pens massage me on wickr
wickr............ American79
Price:  $  0.0    ( 0.0 Bitcoins ) ",0,0
"20 Dank Vapes Cart (Grape Stomper,Gorilla Glue)",0,PrescriptionPills ,US,worldwide,cannabis,,cartridge,"PLEASE DOWNLOAD WICKR APP AND MASSAGE ME BEFORE PLACING AN ORDER (WICKR........ American79)
