listing,vendor,original_category,type of product,drug detail,escrow,vendor rating,vendor membership,origin,destination,price_in_usd,quantity,description
1 x Magic Mist - Cannabis E-Liquid ( 10ml ) Nicotine Free 1000mg,BookFace,weed,eliquid,cannabis,FE Required,0.992, 2019-07-26,UK,UK,36.3,10ml,"This listing is for 1 X Cannabis E-LIQUID bottle containing 10ml of 30/70 PG/VG with 1000mg THC
The price is £28 + whatever % mark up The Market adds on
Nicotine free! Unflavored
Each 1ml of my Vape E juice = 100mg THC
Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality cannabis concentrate (shatter/wax) and our own custom vape mix blend. Triple filtered.
We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process. This ensures a tasty and robust cloud each time.
Item is heat activated having been twice decarbed.
Designed for use with standard e-liquid tanks and devices.
Please if you buy could you leave a detailed review in the feedback to help other customers decided if to buy or not. Thank you
"
Best Price DankVapes,CartKing,concentrate,eliquid,cannabis,ESCROW BULK DISCOUNTS,0.995, 2019-04-20,US,US,40,1g,"NO PG/VG/HONEY CUT/ TOCOPHERYL ACETATE PURE DISTILLATE
FORMER TRUSTED VENDOR FROM WALLSTMARKET!
Dankvapes Dank-Vape oil is a 100% solvent-free cannabis concentrate, unmatched in its potency, purity, and flavor. Dank-Vape is a translucent oil, anywhere from 75%-98% THC, and is activated by our specially-developed process to make it effective in oral and trans-dermal applications.
FLAVORS: GDP Sour Diesel Sour Apple Strawnana LemonBerry GrapeApe
SPECIFIC FLAVORS ARE NOT GUARANTEED, only suggestions but I will try and give you what you want.
Wickr now available for customers with mulitple purchases!
Us-Us domestic only. Sorry boys and girls out side of the USA USA USA!!
Richard Higher 123 High St. Apt #420 Town, WA 12345-1234
(PLEASE try to include the 4 extension digits to your zipcode!)
SHIPPING INFO Place your order before 11AM EST by: Sunday/Monday - receive by Wednesday/Thursday Tuesday - receive by Thursday/Friday Wednesday - receive by Friday/Sat Thursday - receive by Saturday/Monday Friday/Saturday - receive by Monday/Tuesday
"
Authentic BRASS KNUCKLES (full gram carts),CaliKindness,weed,cartridge,cannabis,ESCROW BULK DISCOUNTS,1, 2018-12-15,US,US,65,unit,"<< WELCOME TO CALI >>
<< Brass Knuckles 1000mg carts >>
Weêre proud to offer our first out of house product, Xzibitês line of Brass Knuckles vape carts! These are double size 1000mg carts that fit standard batteries and they look, feel and hit like money and will last a long long time!
Flavors available (Jul 2):
    SFV OG (INDICA)
    Gorilla Glue (HYBRID)
