listing,price_in_usd,vendor,origin,destination,drug category,type of product,description,num_feedback,average_ rating
"46,5 % THC CANNABIS E-JUICE / E-LIQUID / HQ",56,wochris,Spain,worldwide,cannabis,eliquid,"Welcome to Wochris Shop,

where you only get the highest quality always.

PLEASE BE SURE THAT YOU READ OUR TERMS AND CONDITIONS , REFUND POLICY BEFORE PLACE AN ORDER.

WE PRODUCE ALL OF OUR PRODUCTS WITH LOVE AND PASSION - WE USE ONLY NATURAL INGREDIENTS.

When buying from us you will only receive top quality Products.

We sell only perfectly grown and cured, beautiful potent Marijuana, no medium or low quality.

All medical products have been developed with the help of local physicians and/or veterinarians.

Our Products ALWAYS were tested before start selling.

Our stealth is always up to date,

because we use chamber vacuum machines, then it comes in a

anti-xray bag and this then comes in a neutral air cushion envelope which is decorated with printed stickersÄ. of course

the envelope also has a fake sender on the back.",25,3.2
1 GRAM THC Disposable Vape Pen HASH STRAWBERRY FLAVOR,10,vapestore,US,worldwide,cannabis,vape pen,"This listing is for 1 pre-filled disposable Vape Pen containing our special and strong THC Hash Juice with STRAWBERRY Flavor.

The juice in this pen contains no fruit or any other flavor just pure Hash taste :-)

Enjoy smoking your favorite HASH in public!

1 Vape Pen is good for 150-200 puffs!",0,0
? AK-47 Vape Juice! ?,82,ozvape,Australia,worldwide,Synthetic cannabinoid,eliquid,"AK-Blue is here!

?High quality! High Strength! ?

?Best juice on the market! Real deal THC infused vape E juice ?

?Only the highest quality medical grade ingredients and equipment used ?

?Latest batch –AK-BLUE” beautifully flavored blueberry, produced from AK-47 strain ?

?FREE EXPRESS POST TWICE DAILY WITHIN AUSTRALIA ?

?100% reship of items that donêt make it to your door ?

? WARNING We advise diluting juice to at least 50?50 with any flavor or PG-VG mix of your choice before vaping, this is very strong vape juice and should be vaped with caution.",1,5
STRONG THC E-LIQUID VAPE,21,thcliquid24,Germany,worldwide,cannabis,eliquid,"We are offering our –Strong THC Liquid E-Liquid” handmade by THCLiquid24

This e-liquid contains 20% of pure THC

Good taste and very strong high!

No smells! So you can smoke/vape this everywhere and stay anonymous!

You can vape this eliquid with all electronic cigarettes/vaping devicesin the world.

Its without any waxes or other nasty particles that donêt belong in there and itês been triple strained.

Premium Quality.

Very strong high.

Out of 2g medicinal cannabis buds.",3,4.5
Gorilla Glue / E-liquid / BHO shatter,183,treborcannabis,UK,UK,cannabis,concentrate,"2ML,5ML & 10ML options for the finest , tastiest shatter BHO vape juice anywhere! Trebor",6,5
Gorilla Glue / E-liquid / BHO shatter,42,treborcannabis,UK,UK,cannabis,concentrate,"2ML,5ML & 10ML options for the finest , tastiest shatter BHO vape juice anywhere! Trebor",6,5
THC VAPE JUICE (FOR E-PENS / VAPES),250,vapestore,US,worldwide,cannabis,eliquid,"LAVORS AVAILABLE: GELATO STRAWBERRY SHORT CAKE SUPERLEMON HAZE DURBAN POISON ZKITTLES BANANA KUSH

This solution is designed for use with vaporizers and e-pens. Can be taken orally if desired. Approximately 75% pure THC by volume.",0,0
THC - CDB VAPE LIQUID ***DUTCH DELIGHT** TOP PRODUCT !,45,bel_kartel,worldwide,worldwide,cannabis,eliquid,"This listing will give you our own home made THC E-Liquid from the best strains. Mostly we use a mix between OG KUSH - GORILLA GLUE #4

You need to fill up your tank by yourself. We donêt sell prefilled cartdridges as this is not good in our opinion ( cheap coils gives problems to good mods ! )

Please mention in order for what kind of use we have cdb and thc juice !",0,0
VARIETY PACK - 3 X Cannabis Vape Oil | 50% THC | Choose your stain!,135,akindercare,US,US,cannabis,eliquid,"DURBAN POISON (sativa) - KING LOUIS XIII (indica) - STRAWBERRY COUGH (sativa) - HEADBAND (hybrid)

Mix and match any 3 of our rotating supply of available strains. Donêt see something youêd like? Ask

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)",0,0
VARIETY PACK - 3 X Cannabis Vape Oil | 75% THC | Choose your strains!,190,akindercare,US,US,cannabis,eliquid,"CHOOSE YOUR STRAINS -

ALASKAN THUNDER F*CK (sativa) - AGENT ORANGE (hybrid) - PLATINUM OG (indica) - DURBAN POISON (sativa)

Mix and match any 3 of our rotating supply of available strains. Donêt see something youêd like? Ask

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)",1,5
